"model","scenario","region","variable","unit","version","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IIASA-WiC POP 2025","SSP5","World","Population|Female|Age 70-74","million",1,126.298491,142.461888,162.734014,185.268146,200.104714,203.307994,228.711048,252.847283,255.336835,254.952622,266.911776,284.639065,301.91548,305.158829,294.186617,267.24744
"IIASA-WiC POP 2025","SSP5","World","Population|Female|Age 75-79","million",1,85.735514,110.53402,126.290819,146.216566,168.591889,184.010281,188.255686,213.614511,238.152988,241.993117,243.229905,256.278005,275.034639,293.310123,297.676317,287.845517
"IIASA-WiC POP 2025","SSP5","World","Population|Female|Age 80-84","million",1,53.568113,68.928231,90.687742,105.632342,124.749201,146.497013,162.225069,167.665273,192.592203,217.334084,222.818117,226.049687,240.41055,260.432659,279.974636,285.848578
"IIASA-WiC POP 2025","SSP5","World","Population|Female|Age 85-89","million",1,31.754046,37.045108,49.522241,67.066875,80.549219,98.06823299999999,118.161505,133.707802,140.444841,164.23179,188.595959,195.987755,201.554042,217.311834,238.670691,259.568804
"IIASA-WiC POP 2025","SSP5","World","Population|Female|Age 90-94","million",1,13.661208,17.177171,21.252525,29.986241,42.340119,53.331398,67.88041199999999,84.919867,99.419205,107.182896,128.658819,151.519347,160.820107,168.723998,185.480791,207.585863
"IIASA-WiC POP 2025","SSP5","World","Population|Female|Age 95-99","million",1,3.809305,4.967932,6.67809,8.933258,13.553581,20.291887,27.413951,37.301876,49.556686,61.21481900000001,69.11708,86.334163,105.499015,115.833314,125.298198,141.39708
"IIASA-WiC POP 2025","SSP5","World","Population|Male|Age 100+","million",1,0.126355,0.202221,0.282755,0.415584,0.615506,1.017379,1.610584,2.44799,3.730162,5.548071,7.81454,10.154404,14.644053,20.825278,26.802072,34.033479
"IIASA-WiC POP 2025","SSP5","World","Population|Male|Age 65-69","million",1,138.083747,158.817605,182.190867,198.227384,202.810235,229.337307,255.315908,260.78115,263.059484,276.248768,295.321602,313.467329,315.860091,302.765172,274.317391,260.252085
"IIASA-WiC POP 2025","SSP5","World","Population|Male|Age 70-74","million",1,105.499273,120.926941,141.015146,163.903902,180.281781,186.04185,212.378445,238.621444,245.481384,249.472858,263.828587,283.982529,303.223965,306.93369,295.17593,268.576161
"IIASA-WiC POP 2025","SSP5","World","Population|Male|Age 75-79","million",1,66.980243,86.211147,100.677044,119.630025,141.515489,158.033519,164.917224,190.654953,216.855654,225.233972,231.22522,246.857665,268.218124,288.758115,294.122451,284.095586
"IIASA-WiC POP 2025","SSP5","World","Population|Male|Age 80-84","million",1,37.494282,49.036271,64.663533,77.49929700000001,94.50153999999999,114.513285,130.531918,138.363937,162.711596,188.218565,198.188879,206.353855,223.270277,245.912765,267.901795,275.320287
"IIASA-WiC POP 2025","SSP5","World","Population|Male|Age 85-89","million",1,18.512879,22.663948,30.983322,42.203831,52.515272,66.435164,83.163466,97.643834,106.000972,127.759258,151.416508,162.775191,173.125199,191.13571,214.847419,238.148248
"IIASA-WiC POP 2025","SSP5","World","Population|Male|Age 90-94","million",1,6.333493000000001,8.237467,10.72571,15.54167,22.111216,29.044194,38.65979,50.58466900000001,62.116241,70.08115,87.556079,107.623599,119.652847,131.674977,149.913198,173.612755
"IIASA-WiC POP 2025","SSP5","World","Population|Male|Age 95-99","million",1,1.327483,1.768439,2.462417,3.443378,5.352306,8.035991000000001,11.353315,16.167554,22.52772,29.681808,35.576697,47.07404200000001,61.255814,72.162931,84.027916,100.190413
